topic,pdf,filter,pairs
65. Ч.10. Лекция,65. Ч.8-10. Курс. Лектор. Лекция.pdf,cached,12
65. Ч.11. Аудитория,65_Ч_11_13_Аудитория_Общежитие_Интернат.pdf,cached,6
65. Ч.12. Общежитие,65_Ч_11_13_Аудитория_Общежитие_Интернат.pdf,cached,7
65. Ч.13. Интернат,65_Ч_11_13_Аудитория_Общежитие_Интернат.pdf,cached,11
65. Ч.14. Преподаватель,65_Ч_14_16_Преподаватель_Школа_Класс.pdf,cached,12
65. Ч.15. Школа,65_Ч_14_16_Преподаватель_Школа_Класс.pdf,cached,10
65. Ч.16. Класс,65_Ч_14_16_Преподаватель_Школа_Класс.pdf,cached,3
"65. Ч.17. Программа, план","65. Ч.17-18. Программа, план. Ученик.pdf",cached,24
65. Ч.18. Ученик,"65. Ч.17-18. Программа, план. Ученик.pdf",cached,10
65. Ч.19. Урок,65_Ч_19_20_Урок_Разговор_с_родителями.pdf,cached,28
65. Ч.2. Ученый,65. Ч.1-2. Образование. Ученый.pdf,cached,22
65. Ч.20. Разговор с родителями,65_Ч_19_20_Урок_Разговор_с_родителями.pdf,cached,28
"65. Ч.21. Экзамен, зачет, конкурс","65_Ч_21_22_Экзамен,_зачет,_конкурс_Каникулы.pdf",cached,23
65. Ч.22. Каникулы,"65_Ч_21_22_Экзамен,_зачет,_конкурс_Каникулы.pdf",cached,5
65. Ч.23. Детский сад,65. Ч.23-24. Детский сад. Курсы.pdf,cached,15
65. Ч.24. Курсы,65. Ч.23-24. Детский сад. Курсы.pdf,cached,8
65. Ч.25. Библиотека,65_Ч_25_26_Библиотека_Читальный_зал.pdf,cached,7
65. Ч.26. Читальня,65_Ч_25_26_Библиотека_Читальный_зал.pdf,cached,4
65. Ч.4. Факультет,65. Ч.4-5. Факультет. Кафедра.pdf,cached,13
65. Ч.5. Кафедра,65. Ч.4-5. Факультет. Кафедра.pdf,cached,7
65. Ч.6. Студент,65. Ч.6-7. Студент. Стипендия.pdf,cached,13
65. Ч.7. Стипендия,65. Ч.6-7. Студент. Стипендия.pdf,cached,8
65. Ч.8. Курс,65. Ч.8-10. Курс. Лектор. Лекция.pdf,cached,17
65. Ч.9. Лектор,65. Ч.8-10. Курс. Лектор. Лекция.pdf,cached,2
"65_Ч_3_Институт,_университет,_техникум,_колледж","65_Ч_3_Институт,_университет,_техникум,_колледж.pdf",cached,22
66. Ч.1. Аптека. Лекарства,"66. Ч.1. Аптека, лекарство.pdf",cached,22
66. Ч.2. Болезнь,66. Ч.2.  Болезнь.pdf,cached,43
66. Ч.3. Больница,66. Ч.3-4.  Больница. Врач.pdf,cached,7
66. Ч.4. Врач,66. Ч.3-4.  Больница. Врач.pdf,cached,13
